"ID","FAMILY","INSTITUTION_CODE","INFRASPECIFIC_EPITHET","REMARKS","COLLECTOR","KINGDOM","LOCALITY","GENUS","INFRASPECIFIC_RANK","BASIS_OF_RECORD","PHYLUM","MINIMUM_ELEVATION_IN_METERS","SPECIFIC_EPITHET","CLASS","SCIENTIFIC_NAME","COUNTRY","EARLIEST_DATE_COLLECTED","NOMENCLATURAL_CODE","CATALOG_NUMBER","AUTHOR_YEAR_OF_SCIENTIFIC_NAME","STATE_PROVINCE","ORDER","CONTINENT","COLLECTION_CODE"
"11523","Rubiaceae","BGBM","centrale",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Galium","Subspecies","PreservedSpecimen","Magnoliophyta","2650","incanum",,"Galium incanum subsp. centrale Ehrend.","TR","1999-08-01 00:00:00.0","ICBN","1084","Ehrend.","Nigde","Rubiales","Asia","B"
"11524","Polygonaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Polygonum",,"PreservedSpecimen","Magnoliophyta","2650","arenastrum",,"Polygonum arenastrum Bor.","TR","1999-08-01 00:00:00.0","ICBN","1085","Bor.","Nigde","Polygonales","Asia","B"
"11525","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Herniaria",,"PreservedSpecimen","Magnoliophyta","2650","glabra",,"Herniaria glabra L.","TR","1999-08-01 00:00:00.0","ICBN","1086","L.","Nigde","Caryophyllales","Asia","B"
"11526","Asteraceae","BGBM","extrarosularis",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Centaurea","Subspecies","PreservedSpecimen","Magnoliophyta","2650","pichleri",,"Centaurea pichleri subsp. extrarosularis (Hayek & Siehe) Wagenitz","TR","1999-08-01 00:00:00.0","ICBN","1087","(Hayek & Siehe) Wagenitz","Nigde","Asterales","Asia","B"
"11527","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Silene",,"PreservedSpecimen","Magnoliophyta","2650","fenzlii",,"Silene fenzlii Boiss. & Bal.","TR","1999-08-01 00:00:00.0","ICBN","1088","Boiss. & Bal.","Nigde","Caryophyllales","Asia","B"
"11528","Rosaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Potentilla",,"PreservedSpecimen","Magnoliophyta","2650","meyeri",,"Potentilla meyeri Boiss.","TR","1999-08-01 00:00:00.0","ICBN","1089","Boiss.","Nigde","Rosales","Asia","B"
"11529","Brassicaceae","BGBM",,,"Markus Döring","Plantae","Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit,","Alyssum",,"PreservedSpecimen","Magnoliophyta","2180","masmenaeum",,"Alyssum masmenaeum Boiss.","TR","1999-06-21 00:00:00.0","ICBN","109","Boiss.","Mugla","Capparales","Asia","B"
"11530","Asteraceae","BGBM","plicatum",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Helichrysum","Subspecies","PreservedSpecimen","Magnoliophyta","2650","plicatum",,"Helichrysum plicatum subsp. plicatum","TR","1999-08-01 00:00:00.0","ICBN","1090",,"Nigde","Asterales","Asia","B"
"11531","Lamiaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Marrubium",,"PreservedSpecimen","Magnoliophyta","2650","heterodon",,"Marrubium heterodon (Benth.) Boiss. & Balansa","TR","1999-08-01 00:00:00.0","ICBN","1091","(Benth.) Boiss. & Balansa","Nigde","Lamiales","Asia","B"
"11532","Asteraceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Leontodon","Variety","PreservedSpecimen","Magnoliophyta","2650","oxylepis",,"Leontodon oxylepis var. oxylepis","TR","1999-08-01 00:00:00.0","ICBN","1092",,"Nigde","Asterales","Asia","B"
"11533","Ranunculaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Ranunculus","Variety","PreservedSpecimen","Magnoliophyta","2650","demissus",,"Ranunculus demissus var. major Boiss.","TR","1999-08-01 00:00:00.0","ICBN","1093","Boiss.","Nigde","Ranunculales","Asia","B"
"11534","Asteraceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Tragopogon",,"PreservedSpecimen","Magnoliophyta","2650","olympicus",,"Tragopogon olympicus Boiss.","TR","1999-08-01 00:00:00.0","ICBN","1094","Boiss.","Nigde","Asterales","Asia","B"
"11535","Rubiaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Cruciata",,"PreservedSpecimen","Magnoliophyta","2650","taurica",,"Cruciata taurica (Pall. ex Willd.) Ehrend.","TR","1999-08-01 00:00:00.0","ICBN","1095","(Pall. ex Willd.) Ehrend.","Nigde","Rubiales","Asia","B"
"11536","Poaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Dactylis",,"PreservedSpecimen","Magnoliophyta","2650","spec.",,"Dactylis spec.","TR","1999-08-01 00:00:00.0","ICBN","1096",,"Nigde","Cyperales","Asia","B"
"11537","Asteraceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Senecio",,"PreservedSpecimen","Magnoliophyta","2650","vernalis",,"Senecio vernalis Waldst. & Kit.","TR","1999-08-01 00:00:00.0","ICBN","1097","Waldst. & Kit.","Nigde","Asterales","Asia","B"
"11538","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Arenaria",,"PreservedSpecimen","Magnoliophyta","2650","acerosa",,"Arenaria acerosa Boiss.","TR","1999-08-01 00:00:00.0","ICBN","1098","Boiss.","Nigde","Caryophyllales","Asia","B"
"11539","unbekannt","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 1650m","noch unbestimmt !!!",,"PreservedSpecimen",,"1650",,,"noch unbestimmt !!!","TR","1999-08-01 00:00:00.0","ICBN","1099",,"Nigde",,"Asia","B"
"11540","unbekannt","BGBM",,,"Markus Döring","Plantae","Sandras Dagi, road Agla - Serce Gedigi, above (=N) Yayla Köyü Agla. N 37°01´86´´ O 28°45´54´´, 950m","noch unbestimmt !!!",,"PreservedSpecimen",,"950",,,"noch unbestimmt !!!","TR","1999-06-19 00:00:00.0","ICBN","11",,"Mugla",,"Asia","B"
"11541","Asteraceae","BGBM","canescens",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 1650m","Achillea","Subspecies","PreservedSpecimen","Magnoliophyta","1650","kotschyi",,"Achillea kotschyi subsp. canescens Bässler","TR","1999-08-01 00:00:00.0","ICBN","1100","Bässler","Nigde","Asterales","Asia","B"
"11542","Brassicaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Alyssum","Variety","PreservedSpecimen","Magnoliophyta","2650","simplex",,"Alyssum simplex var. minus","TR","1999-08-01 00:00:00.0","ICBN","1101",,"Nigde","Capparales","Asia","B"
"11543","Brassicaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 1650m","Alyssum",,"PreservedSpecimen","Magnoliophyta","1650","aurantiacum",,"Alyssum aurantiacum Boiss.","TR","1999-08-01 00:00:00.0","ICBN","1102","Boiss.","Nigde","Capparales","Asia","B"
"11544","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Dianthus","Variety","PreservedSpecimen","Magnoliophyta","2650","zonatus",,"Dianthus zonatus var. zonatus","TR","1999-08-01 00:00:00.0","ICBN","1103",,"Nigde","Caryophyllales","Asia","B"
"11545","Brassicaceae","BGBM","heterocoma",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Draba","Variety","PreservedSpecimen","Magnoliophyta","2650","bruniifolia",,"Draba bruniifolia var. nana (Stapf) Schulz","TR","1999-08-01 00:00:00.0","ICBN","1104","(Stapf) Schulz","Nigde","Capparales","Asia","B"
"11546","Liliaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Asphodeline",,"PreservedSpecimen","Magnoliophyta","2650","taurica",,"Asphodeline taurica (Pall.) Kunth","TR","1999-08-01 00:00:00.0","ICBN","1105","(Pall.) Kunth","Nigde","Liliales","Asia","B"
"11547","Brassicaceae","BGBM","flexibile",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Alyssum","Subspecies","PreservedSpecimen","Magnoliophyta","2650","condensatum",,"Alyssum condensatum subsp. flexibile (Nyár.) Dudley","TR","1999-08-01 00:00:00.0","ICBN","1106","(Nyár.) Dudley","Nigde","Capparales","Asia","B"
"11548","Poaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Festuca","Variety","PreservedSpecimen","Magnoliophyta","2650","pinifolia",,"Festuca pinifolia var. pinifolia","TR","1999-08-01 00:00:00.0","ICBN","1107",,"Nigde","Cyperales","Asia","B"
"11549","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Gypsophila",,"PreservedSpecimen","Magnoliophyta","2650","curvifolia",,"Gypsophila curvifolia Fenzl","TR","1999-08-01 00:00:00.0","ICBN","1108","Fenzl","Nigde","Caryophyllales","Asia","B"
"11550","Lamiaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Teucrium","Variety","PreservedSpecimen","Magnoliophyta","2650","montanum",,"Teucrium montanum var. parnassicum Celak","TR","1999-08-01 00:00:00.0","ICBN","1109","Celak","Nigde","Lamiales","Asia","B"
"11551","Boraginaceae","BGBM","cariense",,"Markus Döring","Plantae","Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit,","Cynoglossum","Variety","PreservedSpecimen","Magnoliophyta","1950","lithospermifolium",,"Cynoglossum lithospermifolium var. cariense","TR","1999-06-21 00:00:00.0","ICBN","110a",,"Mugla","Lamiales","Asia","B"
"11552","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","Sandras Dagi above Agla, Ciçekbaba Tepesi, 2150m","Cerastium",,"PreservedSpecimen","Magnoliophyta","2150","macranthum",,"Cerastium macranthum Boiss.","TR","1999-06-21 00:00:00.0","ICBN","110b","Boiss.","Mugla","Caryophyllales","Asia","B"
"11553","Brassicaceae","BGBM",,,"Markus Döring","Plantae","Sandras Dagi above Agla, Ciçekbaba Tepesi, 2150m","Hesperis",,"PreservedSpecimen","Magnoliophyta","2150","kotschyi",,"Hesperis kotschyi Boiss.","TR","1999-06-21 00:00:00.0","ICBN","111","Boiss.","Mugla","Capparales","Asia","B"
"11554","Brassicaceae","BGBM","cyclocarpa",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karagöl, 2700m","Aurinia","Subspecies","PreservedSpecimen","Magnoliophyta","2700","rupestris",,"Aurinia rupestris subsp. cyclocarpa","TR","1999-08-01 00:00:00.0","ICBN","1110",,"Nigde","Capparales","Asia","B"
"11555","Lamiaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karagöl, 2700m","Nepeta",,"PreservedSpecimen","Magnoliophyta","2700","betonicifolia",,"Nepeta betonicifolia C.A.Mey.","TR","1999-08-01 00:00:00.0","ICBN","1111","C.A.Mey.","Nigde","Lamiales","Asia","B"
"11556","Ranunculaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karagöl, 2700m","Ranunculus","Variety","PreservedSpecimen","Magnoliophyta","2700","demissus",,"Ranunculus demissus var. major Boiss.","TR","1999-08-01 00:00:00.0","ICBN","1112","Boiss.","Nigde","Ranunculales","Asia","B"
"11557","Poaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karagöl, 2700m","Poa",,"PreservedSpecimen","Magnoliophyta","2700","psychrophila",,"Poa psychrophila Boiss. & Heldr.","TR","1999-08-01 00:00:00.0","ICBN","1113","Boiss. & Heldr.","Nigde","Cyperales","Asia","B"
"11558","Poaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karagöl, 2700m","Phleum",,"PreservedSpecimen","Magnoliophyta","2700","alpinum",,"Phleum alpinum L.","TR","1999-08-01 00:00:00.0","ICBN","1114","L.","Nigde","Cyperales","Asia","B"
"11559","Poaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karagöl, 2700m","Poa",,"PreservedSpecimen","Magnoliophyta","2700","nemoralis",,"Poa nemoralis L.","TR","1999-08-01 00:00:00.0","ICBN","1115","L.","Nigde","Cyperales","Asia","B"
"11560","Poaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karagöl, 2700m","Sesleria",,"PreservedSpecimen","Magnoliophyta","2700","phleoides",,"Sesleria phleoides Steven ex R.Roem. & Schultes","TR","1999-08-01 00:00:00.0","ICBN","1116","Steven ex R.Roem. & Schultes","Nigde","Cyperales","Asia","B"
"11561","unbekannt","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karagöl, 2700m","noch unbestimmt !!!",,"PreservedSpecimen",,"2700",,,"noch unbestimmt !!!","TR","1999-08-01 00:00:00.0","ICBN","1117",,"Nigde",,"Asia","B"
"11562","Asteraceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karagöl, 2700m","Taraxacum",,"PreservedSpecimen","Magnoliophyta","2700","sintenisii",,"Taraxacum sintenisii Dahlst.","TR","1999-08-01 00:00:00.0","ICBN","1118","Dahlst.","Nigde","Asterales","Asia","B"
"11563","Polygonaceae","BGBM","carnea",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karagöl, 2700m","Persicaria","Subspecies","PreservedSpecimen","Magnoliophyta","2700","bistorta",,"Persicaria bistorta subsp. carnea (C. Koch) Greuter & Burdet","TR","1999-08-01 00:00:00.0","ICBN","1119","(C. Koch) Greuter & Burdet","Nigde","Polygonales","Asia","B"
"11564","Liliaceae","BGBM",,,"Markus Döring","Plantae","Sandras Dagi above Agla, Ciçekbaba Tepesi, 2150m","Ornithogalum",,"PreservedSpecimen","Magnoliophyta","2150","orthophyllum",,"Ornithogalum orthophyllum Ten.","TR","1999-06-21 00:00:00.0","ICBN","112","Ten.","Mugla","Liliales","Asia","B"
"11565","Rubiaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karagöl, 2700m","Galium",,"PreservedSpecimen","Magnoliophyta","2700","cilicicum",,"Galium cilicicum Boiss.","TR","1999-08-01 00:00:00.0","ICBN","1120","Boiss.","Nigde","Rubiales","Asia","B"
"11566","Poaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karagöl, 2700m","Poa",,"PreservedSpecimen","Magnoliophyta","2700","bulbosa agg.",,"Poa bulbosa agg. L.","TR","1999-08-01 00:00:00.0","ICBN","1121","L.","Nigde","Cyperales","Asia","B"
"11567","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karagöl, 2700m","Arenaria",,"PreservedSpecimen","Magnoliophyta","2700","balansae",,"Arenaria balansae Boiss.","TR","1999-08-01 00:00:00.0","ICBN","1122","Boiss.","Nigde","Caryophyllales","Asia","B"
"11568","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karagöl, 2700m","Silene",,"PreservedSpecimen","Magnoliophyta","2700","olympica",,"Silene olympica Boiss.","TR","1999-08-01 00:00:00.0","ICBN","1123","Boiss.","Nigde","Caryophyllales","Asia","B"
"11569","Apiaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karagöl, 2700m","Heracleum",,"PreservedSpecimen","Magnoliophyta","2700","humile",,"Heracleum humile Sm.","TR","1999-08-01 00:00:00.0","ICBN","1124","Sm.","Nigde","Apiales","Asia","B"
"11571","Fabaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2660m","Trifolium",,"PreservedSpecimen","Magnoliophyta","2660","spadiceum",,"Trifolium spadiceum L.","TR","1999-08-01 00:00:00.0","ICBN","1125b","L.","Nigde","Fabales","Asia","B"
"11588","Apiaceae","BGBM","lithophila",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karagöl. N37°24´67´´, O34","Pimpinella","Subspecies","PreservedSpecimen","Magnoliophyta","2620","tragium",,"Pimpinella tragium subsp. lithophila (I. Schischk.) Tutin","TR","1999-08-01 00:00:00.0","ICBN","1140","(I. Schischk.) Tutin","Nigde","Apiales","Asia","B"
"11590","Fabaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karagöl. N37°24´67´´, O34","Ononis","Variety","PreservedSpecimen","Magnoliophyta","2620","adenotricha",,"Ononis adenotricha var. adenotricha","TR","1999-08-01 00:00:00.0","ICBN","1142",,"Nigde","Fabales","Asia","B"
"11591","Lamiaceae","BGBM","oligodon",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, slopes along the road from Meydan to tarn Karagöl, 1600m","Marrubium","Subspecies","PreservedSpecimen","Magnoliophyta","1600","parviflorum",,"Marrubium parviflorum subsp. oligodon (Boiss.) Seybold","TR","1999-08-01 00:00:00.0","ICBN","1143","(Boiss.) Seybold","Nigde","Lamiales","Asia","B"
"11592","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari above Meydan, slopes along the road from Meydan to tarn Karagöl, 1600m","Gypsophila",,"PreservedSpecimen","Magnoliophyta","1600","curvifolia",,"Gypsophila curvifolia Fenzl","TR","1999-08-01 00:00:00.0","ICBN","1144","Fenzl","Nigde","Caryophyllales","Asia","B"
"11593","Fabaceae","BGBM",,,"Markus Döring","Plantae","Aladaglari, Kayacik Deresi, entrance to Kayaçik Bogazi, 2100m","Ebenus","Variety","PreservedSpecimen","Magnoliophyta","2100","laguroides",,"Ebenus laguroides var. cilicica (Boiss.) Bornm.","TR","1999-08-06 00:00:00.0","ICBN","1145","(Boiss.) Bornm.","Adana","Fabales","Asia","B"
