"ID","NOMENCLATURAL_CODE","LOCALITY","SCIENTIFIC_NAME","COLLECTOR","ORDER","CATALOG_NUMBER","GENUS","EARLIEST_DATE_COLLECTED","CONTINENT","BASIS_OF_RECORD","INFRASPECIFIC_EPITHET","FAMILY","COUNTRY","KINGDOM","STATE_PROVINCE","MINIMUM_ELEVATION_IN_METERS","INSTITUTION_CODE","PHYLUM","DECIMAL_LATITUDE","IDENTIFIED_BY","CLASS","COLLECTION_CODE","SPECIFIC_EPITHET","DECIMAL_LONGITUDE"
"6158","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Centaurea virgata ?A? Lam.","Markus Döring","Asterales","1058","Centaurea","1999-07-30 00:00:00.0","Asia","PreservedSpecimen",,"Asteraceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","virgata ?A?","34.56800"
"6159","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Thesium billardieri Boiss.","Markus Döring","Santalales","1059","Thesium","1999-07-30 00:00:00.0","Asia","PreservedSpecimen",,"Santalaceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","billardieri","34.56800"
"6160","ICBN","Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m","Poa bulbosa agg. L.","Markus Döring","Cyperales","106","Poa","1999-06-21 00:00:00.0","Asia","PreservedSpecimen",,"Poaceae","TR","Plantae","Mugla","2180","BGBM","Magnoliophyta","37.07000","Markus Döring",,"B","bulbosa agg.","28.80000"
"6161","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Juniperus oxycedrus subsp. oxycedrus","Markus Döring","Pinales","1060","Juniperus","1999-07-30 00:00:00.0","Asia","PreservedSpecimen","oxycedrus","Cupressaceae","TR","Plantae","Nigde","2350","BGBM","Pinophyta","37.42000","Markus Döring",,"B","oxycedrus","34.56800"
"6162","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Silene pruinosa Boiss.","Markus Döring","Caryophyllales","1061","Silene","1999-07-30 00:00:00.0","Asia","PreservedSpecimen",,"Caryophyllaceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","pruinosa","34.56800"
"6163","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Galium spec.","Markus Döring","Rubiales","1062","Galium","1999-07-30 00:00:00.0","Asia","PreservedSpecimen",,"Rubiaceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","spec.","34.56800"
"6164","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Koeleria macrantha (Ledeb.) Schult.","Markus Döring","Cyperales","1063","Koeleria","1999-07-30 00:00:00.0","Asia","PreservedSpecimen",,"Poaceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","macrantha","34.56800"
"6165","ICBN","d. Ulukisla, Bolkar Daglari, slopes along the road from Meydan to tarn Karagöl, 2720m","Verbascum spec.","Markus Döring","Scrophulariales","1065","Verbascum","1999-07-31 00:00:00.0","Asia","PreservedSpecimen",,"Scrophulariaceae","TR","Plantae","Nigde","2720","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","spec.","34.56800"
"6166","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, slopes along the road from Meydan to tarn Karagöl, 2600m","Marrubium cephalanthum Boiss. & Noe","Markus Döring","Lamiales","1066","Marrubium","1999-07-31 00:00:00.0","Asia","PreservedSpecimen",,"Lamiaceae","TR","Plantae","Nigde","2600","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","cephalanthum","34.55800"
"6167","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, slopes along the road from Meydan to tarn Karagöl, 2600m","Helichrysum pallasii Ledeb.","Markus Döring","Asterales","1067","Helichrysum","1999-07-31 00:00:00.0","Asia","PreservedSpecimen",,"Asteraceae","TR","Plantae","Nigde","2600","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","pallasii","34.55800"
"6168","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Minuartia recurva subsp. oreina (Mattf.) McNeill","Markus Döring","Caryophyllales","1068","Minuartia","1999-08-01 00:00:00.0","Asia","PreservedSpecimen","oreina","Caryophyllaceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","recurva","34.55800"
"6169","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Tripleurospermum kotschyi (Boiss.) E.Hossain","Markus Döring","Asterales","1069","Tripleurospermum","1999-08-01 00:00:00.0","Asia","PreservedSpecimen",,"Asteraceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","kotschyi","34.55800"
"6170","ICBN","Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m","Veronica cuneifolia subsp. cuneifolia","Markus Döring","Scrophulariales","107","Veronica","1999-06-21 00:00:00.0","Asia","PreservedSpecimen","cuneifolia","Scrophulariaceae","TR","Plantae","Mugla","2180","BGBM","Magnoliophyta","37.07000","Markus Döring",,"B","cuneifolia","28.80000"
"6171","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Astragalus amoenus Fenzl","Markus Döring","Fabales","1070","Astragalus","1999-08-01 00:00:00.0","Asia","PreservedSpecimen",,"Fabaceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","amoenus","34.55800"
"6172","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Veronica thymoides subsp. pseudocinerea M.A.Fischer","Markus Döring","Scrophulariales","1071","Veronica","1999-08-01 00:00:00.0","Asia","PreservedSpecimen","pseudocinerea","Scrophulariaceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","thymoides","34.55800"
"6173","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Plantago holosteum Scop.","Markus Döring","Plantaginales","1072","Plantago","1999-08-01 00:00:00.0","Asia","PreservedSpecimen",,"Plantaginaceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","holosteum","34.55800"
"6174","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Plantago lanceolata L.","Markus Döring","Plantaginales","1073","Plantago","1999-08-01 00:00:00.0","Asia","PreservedSpecimen",,"Plantaginaceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","lanceolata","34.55800"
"6175","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Logfia arvensis (L.) Holub","Markus Döring","Asterales","1074","Logfia","1999-08-01 00:00:00.0","Asia","PreservedSpecimen",,"Asteraceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","arvensis","34.55800"
"6176","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Asperula setosa Jaub. & Spach","Markus Döring","Rubiales","1075","Asperula","1999-08-01 00:00:00.0","Asia","PreservedSpecimen",,"Rubiaceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","setosa","34.55800"
"6177","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Scleranthus uncinatus Schur","Markus Döring","Caryophyllales","1076","Scleranthus","1999-08-01 00:00:00.0","Asia","PreservedSpecimen",,"Caryophyllaceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","uncinatus","34.55800"
"6178","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Scorzonera cana var. radicosa (Boiss.) D.F.Chamb.","Markus Döring","Asterales","1077","Scorzonera","1999-08-01 00:00:00.0","Asia","PreservedSpecimen",,"Asteraceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","cana","34.55800"
"6179","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Poa bulbosa agg. L.","Markus Döring","Cyperales","1078","Poa","1999-08-01 00:00:00.0","Asia","PreservedSpecimen",,"Poaceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","bulbosa agg.","34.55800"
"6180","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Galium cilicicum Boiss.","Markus Döring","Rubiales","1079","Galium","1999-08-01 00:00:00.0","Asia","PreservedSpecimen",,"Rubiaceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","cilicicum","34.55800"
"6181","ICBN","Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m","Gagea uliginosa Siehe & Pascher","Markus Döring","Liliales","108","Gagea","1999-06-21 00:00:00.0","Asia","PreservedSpecimen",,"Liliaceae","TR","Plantae","Mugla","2180","BGBM","Magnoliophyta","37.07000","Markus Döring",,"B","uliginosa","28.80000"
"6182","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Astragalus depressus L.","Markus Döring","Fabales","1080","Astragalus","1999-08-01 00:00:00.0","Asia","PreservedSpecimen",,"Fabaceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","depressus","34.55800"
"6183","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Alyssum strigosum subsp. strigosum","Markus Döring","Capparales","1081","Alyssum","1999-08-01 00:00:00.0","Asia","PreservedSpecimen","strigosum","Brassicaceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","strigosum","34.55800"
"6184","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Taraxacum assemanii Blanche","Markus Döring","Asterales","1082","Taraxacum","1999-08-01 00:00:00.0","Asia","PreservedSpecimen",,"Asteraceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","assemanii","34.55800"
"6185","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Myosotis alpestris subsp. alpestris","Markus Döring","Lamiales","1083","Myosotis","1999-08-01 00:00:00.0","Asia","PreservedSpecimen","alpestris","Boraginaceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","alpestris","34.55800"
"6186","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Galium incanum subsp. centrale Ehrend.","Markus Döring","Rubiales","1084","Galium","1999-08-01 00:00:00.0","Asia","PreservedSpecimen","centrale","Rubiaceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","incanum","34.55800"
"6187","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Polygonum arenastrum Bor.","Markus Döring","Polygonales","1085","Polygonum","1999-08-01 00:00:00.0","Asia","PreservedSpecimen",,"Polygonaceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","arenastrum","34.55800"
"6188","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Herniaria glabra L.","Markus Döring","Caryophyllales","1086","Herniaria","1999-08-01 00:00:00.0","Asia","PreservedSpecimen",,"Caryophyllaceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","glabra","34.55800"
"6189","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Centaurea pichleri subsp. extrarosularis (Hayek & Siehe) Wagenitz","Markus Döring","Asterales","1087","Centaurea","1999-08-01 00:00:00.0","Asia","PreservedSpecimen","extrarosularis","Asteraceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","pichleri","34.55800"
"6190","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Silene fenzlii Boiss. & Bal.","Markus Döring","Caryophyllales","1088","Silene","1999-08-01 00:00:00.0","Asia","PreservedSpecimen",,"Caryophyllaceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","fenzlii","34.55800"
"6191","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Potentilla meyeri Boiss.","Markus Döring","Rosales","1089","Potentilla","1999-08-01 00:00:00.0","Asia","PreservedSpecimen",,"Rosaceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","meyeri","34.55800"
"6192","ICBN","Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m","Alyssum masmenaeum Boiss.","Markus Döring","Capparales","109","Alyssum","1999-06-21 00:00:00.0","Asia","PreservedSpecimen",,"Brassicaceae","TR","Plantae","Mugla","2180","BGBM","Magnoliophyta","37.07000","Markus Döring",,"B","masmenaeum","28.80000"
"6193","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Helichrysum plicatum subsp. plicatum","Markus Döring","Asterales","1090","Helichrysum","1999-08-01 00:00:00.0","Asia","PreservedSpecimen","plicatum","Asteraceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","plicatum","34.55800"
"6194","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Marrubium heterodon (Benth.) Boiss. & Balansa","Markus Döring","Lamiales","1091","Marrubium","1999-08-01 00:00:00.0","Asia","PreservedSpecimen",,"Lamiaceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","heterodon","34.55800"
"6195","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Leontodon oxylepis var. oxylepis","Markus Döring","Asterales","1092","Leontodon","1999-08-01 00:00:00.0","Asia","PreservedSpecimen",,"Asteraceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","oxylepis","34.55800"
"6196","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Ranunculus demissus var. major Boiss.","Markus Döring","Ranunculales","1093","Ranunculus","1999-08-01 00:00:00.0","Asia","PreservedSpecimen",,"Ranunculaceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","demissus","34.55800"
"6197","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Tragopogon olympicus Boiss.","Markus Döring","Asterales","1094","Tragopogon","1999-08-01 00:00:00.0","Asia","PreservedSpecimen",,"Asteraceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","olympicus","34.55800"
"6198","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Cruciata taurica (Pall. ex Willd.) Ehrend.","Markus Döring","Rubiales","1095","Cruciata","1999-08-01 00:00:00.0","Asia","PreservedSpecimen",,"Rubiaceae","TR","Plantae","Nigde","2650","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","taurica","34.55800"
