Locality	CollectionCode	DecimalLongitude	ScientificName	MinimumElevationInMeters	GUID	Kingdom	InstitutionCode	BasisOfRecord	Class	Country	StateProvince	CatalogNumber	Genus	SpecificEpithet	Order	DecimalLatitude	Family	InfraspecificEpithet	NomenclaturalCode	Phylum	Continent	
Lycian Akdaglari above Gömbe, above Subasi Yayla, 2500m	B	29.63000	Astragalus angustifolius var. violascens Boiss.	2500	6b7aaf90-3683-4343-ac3e-1252ecfa58ee-FOO	Plantae	BGBM	PreservedSpecimen		TR	Mugla	127	Astragalus	angustifolius	Fabales	36.56300	Fabaceae	angustifolius	ICBN	Magnoliophyta	Asia	
Aladaglari, Kayacik Deresi, entrance to Narpiz Bogazi gorge, northern slope, 2450m	B	35.12990	Verbascum spec.	2450	5a540c21-4419-4ccf-a4f5-4c7e1057ec1a-FOO	Plantae	BGBM	PreservedSpecimen		TR	Adana	1270	Verbascum	spec.	Scrophulariales	37.82980	Scrophulariaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, Kayacik Deresi, entrance to Narpiz Bogazi gorge, northern slope, 2500m	B	35.12990	Silene chlorifolia Sm.	2500	57021926-33eb-42a1-b81b-75d2d587e7c4-FOO	Plantae	BGBM	PreservedSpecimen		TR	Adana	1271	Silene	chlorifolia	Caryophyllales	37.82980	Caryophyllaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, Kayacik Deresi, entrance to Narpiz Bogazi gorge, northern slope, 2500m	B	35.12990	Linaria corifolia Desf.	2500	a8758144-40a1-4d9b-83ee-3602292dbea6-FOO	Plantae	BGBM	PreservedSpecimen		TR	Adana	1272	Linaria	corifolia	Scrophulariales	37.82980	Scrophulariaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, Kayacik Deresi, entrance to Narpiz Bogazi gorge, northern slope, 2500m	B	35.12990	Astragalus plumosus var. akardaghicus (Eig) D.F.Chamb. & Matthews	2500	eacd9d7b-7346-46e1-9b58-63303f84d617-FOO	Plantae	BGBM	PreservedSpecimen		TR	Adana	1273	Astragalus	plumosus	Fabales	37.82980	Fabaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, Kayacik Deresi, entrance to Narpiz Bogazi gorge, northern slope, 2500m	B	35.12990	Veronica tauricola Bornm.	2500	ff8b1fb7-1340-428b-89dc-595bf38b8d13-FOO	Plantae	BGBM	PreservedSpecimen		TR	Adana	1274	Veronica	tauricola	Scrophulariales	37.82980	Scrophulariaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, Kayacik Deresi, entrance to Narpiz Bogazi gorge, northern slope, 2500m	B	35.12990	Astragalus chrysochlorus Boiss. & Kotschy	2500	98c2438e-379d-49e9-a86f-41c33a5005df-FOO	Plantae	BGBM	PreservedSpecimen		TR	Adana	1275	Astragalus	chrysochlorus	Fabales	37.82980	Fabaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, Kayacik Deresi, entrance to Narpiz Bogazi gorge, northern slope, 2500m	B	35.12990	Silene pruinosa Boiss.	2500	817bbea8-bb7a-4a20-b76f-b71880dd10ba-FOO	Plantae	BGBM	PreservedSpecimen		TR	Adana	1276	Silene	pruinosa	Caryophyllales	37.82980	Caryophyllaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, Kayacik Deresi, entrance to Narpiz Bogazi gorge, northern slope, 2500m	B	35.12990	Onosma roussaei DC.	2500	7e25278c-076c-49da-aac7-ad2bd655855d-FOO	Plantae	BGBM	PreservedSpecimen		TR	Adana	1277	Onosma	roussaei	Lamiales	37.82980	Boraginaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, Kayacik Deresi, entrance to Narpiz Bogazi gorge, northern slope, 2550m	B	35.12990	Centaurea mucronifera DC.	2550	5e4ba5dd-6caf-4309-81e7-0e7f39a2b872-FOO	Plantae	BGBM	PreservedSpecimen		TR	Adana	1278	Centaurea	mucronifera	Asterales	37.82980	Asteraceae		ICBN	Magnoliophyta	Asia	
Aladaglari, Kayacik Deresi, entrance to Narpiz Bogazi gorge, northern slope, 2450m	B	35.12990	Berberis crataegina DC.	2450	d789e944-75ea-4f16-b0d6-704643159604-FOO	Plantae	BGBM	PreservedSpecimen		TR	Adana	1279	Berberis	crataegina	Ranunculales	37.82980	Berberidaceae		ICBN	Magnoliophyta	Asia	
Lycian Akdaglari above Gömbe, above Subasi Yayla, 2500m	B	29.63000	Scorzonera cana var. radicosa (Boiss.) D.F.Chamb.	2500	a06e69ff-8ef1-4741-8d86-f50326508842-FOO	Plantae	BGBM	PreservedSpecimen		TR	Mugla	128	Scorzonera	cana	Asterales	36.56300	Asteraceae		ICBN	Magnoliophyta	Asia	
Aladaglari, Kayacik Deresi, entrance to Narpiz Bogazi gorge, northern slope, 2550m	B	35.12990	Ziziphora clinopodioides Lam.	2550	e1de2d1d-bf05-4691-b1fd-62c51acee852-FOO	Plantae	BGBM	PreservedSpecimen		TR	Adana	1280	Ziziphora	clinopodioides	Lamiales	37.82980	Lamiaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, Kayacik Deresi, entrance to Narpiz Bogazi gorge, northern slope, 2550m	B	35.12990	Dianthus zonatus var. zonatus	2550	ec7f07a7-a048-42ad-883b-cb012142182c-FOO	Plantae	BGBM	PreservedSpecimen		TR	Adana	1281	Dianthus	zonatus	Caryophyllales	37.82980	Caryophyllaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, Kayacik Deresi, entrance to Narpiz Bogazi gorge, northern slope, 2600m	B	35.12990	Hypericum aviculariifolium var. depilatum	2600	870fddce-8faf-40ee-abad-2af6501ade45-FOO	Plantae	BGBM	PreservedSpecimen		TR	Adana	1282	Hypericum	aviculariifolium	Malpighiales	37.82980	Hypericaceae	depilatum	ICBN	Magnoliophyta	Asia	
Aladaglari, Kayacik Deresi, entrance to Narpiz Bogazi gorge, northern slope, 2450m	B	35.12990	Hieracium pannosum Boiss.	2450	26259125-28c7-480d-837b-a3b7d4a220e9-FOO	Plantae	BGBM	PreservedSpecimen		TR	Adana	1283	Hieracium	pannosum	Asterales	37.82980	Asteraceae		ICBN	Magnoliophyta	Asia	
Lycian Akdaglari above Gömbe, above Subasi Yayla, 2500m	B	29.63000	Bunium microcarpum subsp. microcarpum	2500	74f6765c-6ec0-4c39-8830-d581b987ff1c-FOO	Plantae	BGBM	PreservedSpecimen		TR	Mugla	129	Bunium	microcarpum	Apiales	36.56300	Apiaceae	microcarpum	ICBN	Magnoliophyta	Asia	
Lycian Akdaglari above Gömbe, above Subasi Yayla, 2500m	B	29.63000	Asyneuma linifolium subsp. linifolium	2500	2ebb2583-0afc-4241-922c-da27b34bb3b7-FOO	Plantae	BGBM	PreservedSpecimen		TR	Mugla	130	Asyneuma	linifolium	Campanulales	36.56300	Campanulaceae	linifolium	ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2520m	B	35.15200	Marrubium globosum subsp. globosum	2520	64567273-9f3e-40ef-8471-fbc11a13f9e1-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1300	Marrubium	globosum	Lamiales	37.90000	Lamiaceae	globosum	ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2520m	B	35.15200	noch unbestimmt !!!	2520	3b6f2ef8-765e-433c-915c-ae569aa9c09d-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1301	noch unbestimmt !!!			37.90000	unbekannt		ICBN		Asia	
Aladaglari, northern part (?Black Aladaglari?), 2520m	B	35.15200	Poa bulbosa agg. L.	2520	085f9b5a-2042-4ea6-a087-7b2ebf9a74d8-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1302	Poa	bulbosa agg.	Cyperales	37.90000	Poaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2520m	B	35.15200	Bromus tomentellus subsp. tomentellus	2520	9984f8b8-9209-44b3-825f-c2d2dacbeec4-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1303	Bromus	tomentellus	Cyperales	37.90000	Poaceae	tomentellus	ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2520m	B	35.15200	Verbascum spec.	2520	4d08238a-d7e6-49e0-b436-5b99ad5d65d1-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1304	Verbascum	spec.	Scrophulariales	37.90000	Scrophulariaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2520m	B	35.15200	Potentilla meyeri Boiss.	2520	622c39e8-a404-4103-8123-3e5cccd92be2-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1305	Potentilla	meyeri	Rosales	37.90000	Rosaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2520m	B	35.15200	Asyneuma rigidum subsp. rigidum	2520	8e89f614-f97d-4bbe-a3b0-d817e90750a7-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1306	Asyneuma	rigidum	Campanulales	37.90000	Campanulaceae	rigidum	ICBN	Magnoliophyta	Asia	
