"GUID","MODIFIED","LINK","SOURCE_ID","NOMENCLATURAL_CODE","SCIENTIFIC_NAME","LOCALITY","ORDER","CATALOG_NUMBER","GENUS","CONTINENT","BASIS_OF_RECORD","INFRASPECIFIC_EPITHET","FAMILY","COUNTRY","KINGDOM","STATE_PROVINCE","MINIMUM_ELEVATION_IN_METERS","PHYLUM","INSTITUTION_CODE","DECIMAL_LATITUDE","CLASS","SPECIFIC_EPITHET","COLLECTION_CODE","DECIMAL_LONGITUDE"
"c77883c0-1aa7-4709-af82-b7887f6f40f3-FOO",,"http://localhost:8080/occ/c77883c0-1aa7-4709-af82-b7887f6f40f3-FOO","1117","ICBN","noch unbestimmt !!!","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karag�l, 2700m",,"1117","noch unbestimmt !!!","Asia","PreservedSpecimen",,"unbekannt","TR","Plantae","Nigde","2700",,"BGBM","37.40400",,,"B","34.55800"
"e78f4aa1-c6ee-4cd3-8c6b-51bed6d00b7e-FOO",,"http://localhost:8080/occ/e78f4aa1-c6ee-4cd3-8c6b-51bed6d00b7e-FOO","1118","ICBN","Taraxacum sintenisii Dahlst.","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karag�l, 2700m","Asterales","1118","Taraxacum","Asia","PreservedSpecimen",,"Asteraceae","TR","Plantae","Nigde","2700","Magnoliophyta","BGBM","37.40400",,"sintenisii","B","34.55800"
"d439adee-f354-442c-b89b-6a3abdcdf709-FOO",,"http://localhost:8080/occ/d439adee-f354-442c-b89b-6a3abdcdf709-FOO","1119","ICBN","Persicaria bistorta subsp. carnea (C. Koch) Greuter & Burdet","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karag�l, 2700m","Polygonales","1119","Persicaria","Asia","PreservedSpecimen","carnea","Polygonaceae","TR","Plantae","Nigde","2700","Magnoliophyta","BGBM","37.40400",,"bistorta","B","34.55800"
"c47cf248-c7d6-4b46-bfac-dde24274c279-FOO",,"http://localhost:8080/occ/c47cf248-c7d6-4b46-bfac-dde24274c279-FOO","112","ICBN","Ornithogalum orthophyllum Ten.","Sandras Dagi above Agla, Ci�ekbaba Tepesi, 2150m","Liliales","112","Ornithogalum","Asia","PreservedSpecimen",,"Liliaceae","TR","Plantae","Mugla","2150","Magnoliophyta","BGBM","37.07000",,"orthophyllum","B","28.80000"
"ae59c501-d51c-4545-aceb-b703f2596c74-FOO",,"http://localhost:8080/occ/ae59c501-d51c-4545-aceb-b703f2596c74-FOO","1120","ICBN","Galium cilicicum Boiss.","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karag�l, 2700m","Rubiales","1120","Galium","Asia","PreservedSpecimen",,"Rubiaceae","TR","Plantae","Nigde","2700","Magnoliophyta","BGBM","37.40400",,"cilicicum","B","34.55800"
"25fb40ed-ac01-435c-bff2-a63095010438-FOO",,"http://localhost:8080/occ/25fb40ed-ac01-435c-bff2-a63095010438-FOO","1121","ICBN","Poa bulbosa agg. L.","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karag�l, 2700m","Cyperales","1121","Poa","Asia","PreservedSpecimen",,"Poaceae","TR","Plantae","Nigde","2700","Magnoliophyta","BGBM","37.40400",,"bulbosa agg.","B","34.55800"
"3efda180-8bcd-458b-bc16-8cc5b9698a7a-FOO",,"http://localhost:8080/occ/3efda180-8bcd-458b-bc16-8cc5b9698a7a-FOO","1122","ICBN","Arenaria balansae Boiss.","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karag�l, 2700m","Caryophyllales","1122","Arenaria","Asia","PreservedSpecimen",,"Caryophyllaceae","TR","Plantae","Nigde","2700","Magnoliophyta","BGBM","37.40400",,"balansae","B","34.55800"
"ef8a8888-67a4-4ef6-8553-48cf55cde1dc-FOO",,"http://localhost:8080/occ/ef8a8888-67a4-4ef6-8553-48cf55cde1dc-FOO","1123","ICBN","Silene olympica Boiss.","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karag�l, 2700m","Caryophyllales","1123","Silene","Asia","PreservedSpecimen",,"Caryophyllaceae","TR","Plantae","Nigde","2700","Magnoliophyta","BGBM","37.40400",,"olympica","B","34.55800"
"2691b77e-dc7b-4f31-8991-80583820d184-FOO",,"http://localhost:8080/occ/2691b77e-dc7b-4f31-8991-80583820d184-FOO","1124","ICBN","Heracleum humile Sm.","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karag�l, 2700m","Apiales","1124","Heracleum","Asia","PreservedSpecimen",,"Apiaceae","TR","Plantae","Nigde","2700","Magnoliophyta","BGBM","37.40400",,"humile","B","34.55800"
"0b7b6925-b0bc-4960-85eb-e322b316b6ba-FOO",,"http://localhost:8080/occ/0b7b6925-b0bc-4960-85eb-e322b316b6ba-FOO","1125a","ICBN","Trifolium repens var. repens","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karag�l, 2660m","Fabales","1125a","Trifolium","Asia","PreservedSpecimen",,"Fabaceae","TR","Plantae","Nigde","2660","Magnoliophyta","BGBM","37.40400",,"repens","B","34.55800"
"30c45145-309d-4724-ad7a-6ad7341233e2-FOO",,"http://localhost:8080/occ/30c45145-309d-4724-ad7a-6ad7341233e2-FOO","1125b","ICBN","Trifolium spadiceum L.","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karag�l, 2660m","Fabales","1125b","Trifolium","Asia","PreservedSpecimen",,"Fabaceae","TR","Plantae","Nigde","2660","Magnoliophyta","BGBM","37.40400",,"spadiceum","B","34.55800"
"be0b6b7d-50ee-4881-9e61-2fa8d6efe9f3-FOO",,"http://localhost:8080/occ/be0b6b7d-50ee-4881-9e61-2fa8d6efe9f3-FOO","1126","ICBN","Oxyria digyna (L.) Hill","d. Ulukisla, Bolkar Daglari above Meydan, step crevice in cliff SE of tarn Karag�l, 2700m","Polygonales","1126","Oxyria","Asia","PreservedSpecimen",,"Polygonaceae","TR","Plantae","Nigde","2700","Magnoliophyta","BGBM","37.40400",,"digyna","B","34.55800"
"5ce945cb-1beb-4346-b4d8-a468b8dc57ed-FOO",,"http://localhost:8080/occ/5ce945cb-1beb-4346-b4d8-a468b8dc57ed-FOO","1127","ICBN","Scutellaria orientalis subsp. pinnatifida J.R.Edm.","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karag�l, 2650m","Lamiales","1127","Scutellaria","Asia","PreservedSpecimen","pinnatifida","Lamiaceae","TR","Plantae","Nigde","2650","Magnoliophyta","BGBM","37.40400",,"orientalis","B","34.55800"
"487bf793-2b88-44f9-b469-c39fad2323ab-FOO",,"http://localhost:8080/occ/487bf793-2b88-44f9-b469-c39fad2323ab-FOO","1128","ICBN","Pelargonium endlicherianum Fenzl","d. Ulukisla, Bolkar Daglari, slopes along the road from Meydan to tarn Karag�l, 1850m","Geraniales","1128","Pelargonium","Asia","PreservedSpecimen",,"Geraniaceae","TR","Plantae","Nigde","1850","Magnoliophyta","BGBM","37.42000",,"endlicherianum","B","34.56800"
"88099de4-528b-4e70-be14-adb71393b060-FOO",,"http://localhost:8080/occ/88099de4-528b-4e70-be14-adb71393b060-FOO","1129","ICBN","Helichrysum pallasii Ledeb.","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karag�l. N37�24�67��, O34�33�23��, 2620m","Asterales","1129","Helichrysum","Asia","PreservedSpecimen",,"Asteraceae","TR","Plantae","Nigde","2620","Magnoliophyta","BGBM","37.42000",,"pallasii","B","34.56800"
"e8f2c7b5-9b84-4e53-86fe-90f4a6cc5d3a-FOO",,"http://localhost:8080/occ/e8f2c7b5-9b84-4e53-86fe-90f4a6cc5d3a-FOO","113","ICBN","Stipa spec.","Sandras Dagi above Agla, ascent from �irali to the �i�ekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m","Cyperales","113","Stipa","Asia","PreservedSpecimen",,"Poaceae","TR","Plantae","Mugla","2180","Magnoliophyta","BGBM","37.07000",,"spec.","B","28.80000"
"4e54f6c6-d2f1-413e-b359-0a5db6cf675a-FOO",,"http://localhost:8080/occ/4e54f6c6-d2f1-413e-b359-0a5db6cf675a-FOO","1130","ICBN","Marrubium cephalanthum Boiss. & Noe","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karag�l. N37�24�67��, O34�33�23��, 2620m","Lamiales","1130","Marrubium","Asia","PreservedSpecimen",,"Lamiaceae","TR","Plantae","Nigde","2620","Magnoliophyta","BGBM","37.42000",,"cephalanthum","B","34.56800"
"f13c98f0-2409-4490-94b5-a62c09baf0c5-FOO",,"http://localhost:8080/occ/f13c98f0-2409-4490-94b5-a62c09baf0c5-FOO","1131","ICBN","Stachys citrina subsp. citrina","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karag�l. N37�24�67��, O34�33�23��, 2620m","Lamiales","1131","Stachys","Asia","PreservedSpecimen","citrina","Lamiaceae","TR","Plantae","Nigde","2620","Magnoliophyta","BGBM","37.42000",,"citrina","B","34.56800"
"df628dba-b3dc-4567-bdd4-fe58806871cd-FOO",,"http://localhost:8080/occ/df628dba-b3dc-4567-bdd4-fe58806871cd-FOO","1132","ICBN","Centaurea mucronifera DC.","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karag�l. N37�24�67��, O34�33�23��, 2620m","Asterales","1132","Centaurea","Asia","PreservedSpecimen",,"Asteraceae","TR","Plantae","Nigde","2620","Magnoliophyta","BGBM","37.42000",,"mucronifera","B","34.56800"
"8f513a31-c89c-474a-a73d-3b2ae43a9e19-FOO",,"http://localhost:8080/occ/8f513a31-c89c-474a-a73d-3b2ae43a9e19-FOO","1133","ICBN","Scutellaria orientalis subsp. pinnatifida J.R.Edm.","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karag�l. N37�24�67��, O34�33�23��, 2620m","Lamiales","1133","Scutellaria","Asia","PreservedSpecimen","pinnatifida","Lamiaceae","TR","Plantae","Nigde","2620","Magnoliophyta","BGBM","37.42000",,"orientalis","B","34.56800"
"8b842531-c11b-4246-b174-17e07a9c6ec8-FOO",,"http://localhost:8080/occ/8b842531-c11b-4246-b174-17e07a9c6ec8-FOO","1134","ICBN","Iberis simplex DC.","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karag�l, 2550m","Capparales","1134","Iberis","Asia","PreservedSpecimen",,"Brassicaceae","TR","Plantae","Nigde","2550","Magnoliophyta","BGBM","37.42000",,"simplex","B","34.56800"
"129cabd2-5306-40b3-a5fd-6c8efb2fc9d7-FOO",,"http://localhost:8080/occ/129cabd2-5306-40b3-a5fd-6c8efb2fc9d7-FOO","1135","ICBN","Alyssum condensatum subsp. flexibile (Ny�r.) Dudley","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karag�l. N37�24�67��, O34�33�23��, 2620m","Capparales","1135","Alyssum","Asia","PreservedSpecimen","flexibile","Brassicaceae","TR","Plantae","Nigde","2620","Magnoliophyta","BGBM","37.42000",,"condensatum","B","34.56800"
"44c6784e-1ae2-4d72-98ab-b1b7d80f53e3-FOO",,"http://localhost:8080/occ/44c6784e-1ae2-4d72-98ab-b1b7d80f53e3-FOO","1136","ICBN","Acantholimon lycaonicum Boiss. & Heldr.","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karag�l. N37�24�67��, O34�33�23��, 2620m","Plumbaginales","1136","Acantholimon","Asia","PreservedSpecimen",,"Plumbaginaceae","TR","Plantae","Nigde","2620","Magnoliophyta","BGBM","37.42000",,"lycaonicum","B","34.56800"
"b07083aa-a24e-4adb-98ff-ebf5a68fc5ff-FOO",,"http://localhost:8080/occ/b07083aa-a24e-4adb-98ff-ebf5a68fc5ff-FOO","1137","ICBN","Astragalus haussknechtii Bunge","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karag�l. N37�24�67��, O34�33�23��, 2620m","Fabales","1137","Astragalus","Asia","PreservedSpecimen",,"Fabaceae","TR","Plantae","Nigde","2620","Magnoliophyta","BGBM","37.42000",,"haussknechtii","B","34.56800"
"53c2535f-7e9a-44d7-ae98-43353e59e996-FOO",,"http://localhost:8080/occ/53c2535f-7e9a-44d7-ae98-43353e59e996-FOO","1138","ICBN","Scorzonera cana var. radicosa (Boiss.) D.F.Chamb.","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karag�l. N37�24�67��, O34�33�23��, 2620m","Asterales","1138","Scorzonera","Asia","PreservedSpecimen",,"Asteraceae","TR","Plantae","Nigde","2620","Magnoliophyta","BGBM","37.42000",,"cana","B","34.56800"
"a8e3bb8a-56e6-4e35-ab20-b01d7b6cb42d-FOO",,"http://localhost:8080/occ/a8e3bb8a-56e6-4e35-ab20-b01d7b6cb42d-FOO","1139","ICBN","Crepis willdenowii Czerep.","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karag�l. N37�24�67��, O34�33�23��, 2620m","Asterales","1139","Crepis","Asia","PreservedSpecimen",,"Asteraceae","TR","Plantae","Nigde","2620","Magnoliophyta","BGBM","37.42000",,"willdenowii","B","34.56800"
"58999ef0-adf0-4ca8-ad1e-79722a417c01-FOO",,"http://localhost:8080/occ/58999ef0-adf0-4ca8-ad1e-79722a417c01-FOO","114","ICBN","Convolvulus libanoticus Boiss.","Sandras Dagi above Agla, ascent from �irali to the Ci�ekbaba Tepesi, 1800m","Solanales","114","Convolvulus","Asia","PreservedSpecimen",,"Convolvulaceae","TR","Plantae","Mugla","1800","Magnoliophyta","BGBM","37.07000",,"libanoticus","B","28.80000"
"07d7aaec-e6cf-4100-b584-b9d26c26bd4a-FOO",,"http://localhost:8080/occ/07d7aaec-e6cf-4100-b584-b9d26c26bd4a-FOO","1140","ICBN","Pimpinella tragium subsp. lithophila (I. Schischk.) Tutin","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karag�l. N37�24�67��, O34�33�23��, 2620m","Apiales","1140","Pimpinella","Asia","PreservedSpecimen","lithophila","Apiaceae","TR","Plantae","Nigde","2620","Magnoliophyta","BGBM","37.42000",,"tragium","B","34.56800"
"b88226c6-8d87-4e55-9a04-29931c649786-FOO",,"http://localhost:8080/occ/b88226c6-8d87-4e55-9a04-29931c649786-FOO","1141","ICBN","Ornithogalum comosum L.","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karag�l. N37�24�67��, O34�33�23��, 2620m","Liliales","1141","Ornithogalum","Asia","PreservedSpecimen",,"Liliaceae","TR","Plantae","Nigde","2620","Magnoliophyta","BGBM","37.42000",,"comosum","B","34.56800"
"e7043fd4-fe1a-47e4-859c-d7deb20415bb-FOO",,"http://localhost:8080/occ/e7043fd4-fe1a-47e4-859c-d7deb20415bb-FOO","1142","ICBN","Ononis adenotricha var. adenotricha","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karag�l. N37�24�67��, O34�33�23��, 2620m","Fabales","1142","Ononis","Asia","PreservedSpecimen",,"Fabaceae","TR","Plantae","Nigde","2620","Magnoliophyta","BGBM","37.42000",,"adenotricha","B","34.56800"
"3bc5628f-6032-40c6-8812-3ac437363841-FOO",,"http://localhost:8080/occ/3bc5628f-6032-40c6-8812-3ac437363841-FOO","1143","ICBN","Marrubium parviflorum subsp. oligodon (Boiss.) Seybold","d. Ulukisla, Bolkar Daglari above Meydan, slopes along the road from Meydan to tarn Karag�l, 1600m","Lamiales","1143","Marrubium","Asia","PreservedSpecimen","oligodon","Lamiaceae","TR","Plantae","Nigde","1600","Magnoliophyta","BGBM","37.40400",,"parviflorum","B","34.55800"
"3981e4c0-9d45-4f6c-938a-d9bf847dcb44-FOO",,"http://localhost:8080/occ/3981e4c0-9d45-4f6c-938a-d9bf847dcb44-FOO","1144","ICBN","Gypsophila curvifolia Fenzl","d. Ulukisla, Bolkar Daglari above Meydan, slopes along the road from Meydan to tarn Karag�l, 1600m","Caryophyllales","1144","Gypsophila","Asia","PreservedSpecimen",,"Caryophyllaceae","TR","Plantae","Nigde","1600","Magnoliophyta","BGBM","37.40400",,"curvifolia","B","34.55800"
"9fbc0ec2-7353-4573-9924-bead404fffe3-FOO",,"http://localhost:8080/occ/9fbc0ec2-7353-4573-9924-bead404fffe3-FOO","1145","ICBN","Ebenus laguroides var. cilicica (Boiss.) Bornm.","Aladaglari, Kayacik Deresi, entrance to Kaya�ik Bogazi, 2100m","Fabales","1145","Ebenus","Asia","PreservedSpecimen",,"Fabaceae","TR","Plantae","Adana","2100","Magnoliophyta","BGBM","37.82980",,"laguroides","B","35.12990"
"13ded8a7-080e-4a60-9b6b-a53b26cc6754-FOO",,"http://localhost:8080/occ/13ded8a7-080e-4a60-9b6b-a53b26cc6754-FOO","1146","ICBN","Sesleria alba Sm.","Aladaglari, Kayacik Deresi, entrance to Kaya�ik Bogazi, 2100m","Cyperales","1146","Sesleria","Asia","PreservedSpecimen",,"Poaceae","TR","Plantae","Adana","2100","Magnoliophyta","BGBM","37.82980",,"alba","B","35.12990"
"fe52c91b-c10b-4414-9290-b79a83a23501-FOO",,"http://localhost:8080/occ/fe52c91b-c10b-4414-9290-b79a83a23501-FOO","1147","ICBN","Elytrigia libanotica (Hack.) J.Holub.","Aladaglari, Kayacik Deresi, entrance to Kaya�ik Bogazi, 2100m","Cyperales","1147","Elytrigia","Asia","PreservedSpecimen",,"Poaceae","TR","Plantae","Adana","2100","Magnoliophyta","BGBM","37.82980",,"libanotica","B","35.12990"
"ea3b5544-54c5-472a-8f66-2548d53b37f1-FOO",,"http://localhost:8080/occ/ea3b5544-54c5-472a-8f66-2548d53b37f1-FOO","1148","ICBN","Michauxia tchihatcheffii J.C.Fisch. & C.A.Mey.","Aladaglari, Kayacik Deresi, entrance to Kaya�ik Bogazi, 2100m","Campanulales","1148","Michauxia","Asia","PreservedSpecimen",,"Campanulaceae","TR","Plantae","Adana","2100","Magnoliophyta","BGBM","37.82980",,"tchihatcheffii","B","35.12990"
"8ce6d322-a74a-4e68-9046-bebdad4e3fa2-FOO",,"http://localhost:8080/occ/8ce6d322-a74a-4e68-9046-bebdad4e3fa2-FOO","1149","ICBN","noch unbestimmt !!!","Aladaglari, Kayacik Deresi, entrance to Kaya�ik Bogazi, 2100m",,"1149","noch unbestimmt !!!","Asia","PreservedSpecimen",,"unbekannt","TR","Plantae","Adana","2100",,"BGBM","37.82980",,,"B","35.12990"
"62b5e59d-534f-4e8b-a87e-2275cd8a2516-FOO",,"http://localhost:8080/occ/62b5e59d-534f-4e8b-a87e-2275cd8a2516-FOO","115","ICBN","Viola sandrasea Melch.","Sandras Dagi above Agla, ascent from �irali to the �i�ekbaba Tepesi (main summit), valley below the eastern slope of the summit, 1950m","Violales","115","Viola","Asia","PreservedSpecimen",,"Violaceae","TR","Plantae","Mugla","1950","Magnoliophyta","BGBM","37.07000",,"sandrasea","B","28.80000"
"0c4892c2-507c-44d2-be48-377bdbf467f6-FOO",,"http://localhost:8080/occ/0c4892c2-507c-44d2-be48-377bdbf467f6-FOO","1150","ICBN","Arenaria kotschyana subsp. kotschyana","Aladaglari, Kayacik Deresi, entrance to Kaya�ik Bogazi, 2100m","Caryophyllales","1150","Arenaria","Asia","PreservedSpecimen","kotschyana","Caryophyllaceae","TR","Plantae","Adana","2100","Magnoliophyta","BGBM","37.82980",,"kotschyana","B","35.12990"
"0e5ed63f-4684-498e-b445-560962a75ee0-FOO",,"http://localhost:8080/occ/0e5ed63f-4684-498e-b445-560962a75ee0-FOO","1151","ICBN","Heldreichia rotundifolia Boiss.","Aladaglari, Kayacik Deresi, entrance to Kaya�ik Bogazi, 2100m","Capparales","1151","Heldreichia","Asia","PreservedSpecimen",,"Brassicaceae","TR","Plantae","Adana","2100","Magnoliophyta","BGBM","37.82980",,"rotundifolia","B","35.12990"
"3017dbb9-de1c-4f5f-8035-c255eefad7bd-FOO",,"http://localhost:8080/occ/3017dbb9-de1c-4f5f-8035-c255eefad7bd-FOO","1152","ICBN","Galium aladaghense Parolly","Aladaglari, Kayacik Deresi, entrance to Kaya�ik Bogazi, 2100m","Rubiales","1152","Galium","Asia","PreservedSpecimen",,"Rubiaceae","TR","Plantae","Adana","2100","Magnoliophyta","BGBM","37.82980",,"aladaghense","B","35.12990"
"77a795c3-735e-4e1c-a7dd-f3d8e389ccb6-FOO",,"http://localhost:8080/occ/77a795c3-735e-4e1c-a7dd-f3d8e389ccb6-FOO","1153","ICBN","Vicia alpestris subsp. hypoleuca (Boiss. & Noe) P.H. Davis","Aladaglari, lower Narpiz Deresi, waterfall Narpiz Bogazi, 2500m","Fabales","1153","Vicia","Asia","PreservedSpecimen","hypoleuca","Fabaceae","TR","Plantae","Adana","2500","Magnoliophyta","BGBM","37.82800",,"alpestris","B","35.13600"
"d5340801-e2f2-49ee-bd0e-1f0413647381-FOO",,"http://localhost:8080/occ/d5340801-e2f2-49ee-bd0e-1f0413647381-FOO","1154","ICBN","Alchemilla ellenbergiana Rothm.","Aladaglari, lower Narpiz Deresi, waterfall Narpiz Bogazi, 2500m","Rosales","1154","Alchemilla","Asia","PreservedSpecimen",,"Rosaceae","TR","Plantae","Adana","2500","Magnoliophyta","BGBM","37.82800",,"ellenbergiana","B","35.13600"
